Datetime,PM2.5,PM10,CO,NO2,SO2,O3,City,Year,Month,Day,AQI,AQI_Category
2025-05-06,46.387499999999996,53.65833333333333,488.125,12.829166666666666,14.983333333333334,120.29166666666667,Kolkata,2025,5,6,140.58291160593794,Moderate
2025-05-07,45.12916666666666,53.17916666666667,438.75,13.254166666666668,13.404166666666667,105.41666666666667,Kolkata,2025,5,7,135.81888214125055,Moderate
2025-05-08,38.5375,49.75,377.75,9.679166666666667,14.375,126.125,Kolkata,2025,5,8,119.53323211875845,Moderate
2025-05-09,49.395833333333336,60.42083333333333,432.9166666666667,13.9125,20.491666666666667,133.16666666666666,Kolkata,2025,5,9,147.0863416554206,Moderate
2025-05-10,50.74166666666667,59.362500000000004,478.5,16.150000000000002,18.608333333333334,116.66666666666667,Kolkata,2025,5,10,150.06189083820664,Moderate
2025-05-11,51.52916666666667,57.145833333333336,384.25,13.6625,17.1375,119.375,Kolkata,2025,5,11,154.342002174239,Moderate
2025-05-12,43.47083333333333,49.23333333333333,352.0416666666667,8.833333333333334,15.558333333333332,126.0,Kolkata,2025,5,12,142.47279389713603,Moderate
2025-05-13,32.15416666666666,37.18333333333333,333.6666666666667,6.8500000000000005,8.629166666666666,92.41666666666667,Kolkata,2025,5,13,97.68144586894586,Satisfactory
2025-05-14,27.425,32.483333333333334,310.2083333333333,6.033333333333334,6.695833333333333,86.41666666666667,Kolkata,2025,5,14,83.47240028490029,Satisfactory
2025-05-15,25.1875,31.454166666666666,280.2916666666667,5.458333333333333,6.433333333333334,84.95833333333333,Kolkata,2025,5,15,78.2380698005698,Satisfactory
2025-05-16,24.46666666666667,31.849999999999998,322.5833333333333,5.666666666666667,5.75,72.04166666666667,Kolkata,2025,5,16,76.63817663817663,Satisfactory
2025-05-17,19.491666666666667,25.21666666666667,261.8333333333333,5.05,5.145833333333333,68.29166666666667,Kolkata,2025,5,17,66.00783475783476,Satisfactory
2025-05-18,17.095833333333335,20.883333333333333,275.8333333333333,9.029166666666667,6.895833333333333,57.458333333333336,Kolkata,2025,5,18,60.693999287749286,Satisfactory
2025-05-19,15.183333333333332,17.912499999999998,225.54166666666666,8.870833333333334,5.875,43.125,Kolkata,2025,5,19,54.13773148148149,Satisfactory
2025-05-20,12.887500000000001,15.533333333333333,269.5,6.8,5.3,52.958333333333336,Kolkata,2025,5,20,49.08831908831909,Good
2025-05-21,11.733333333333334,15.695833333333333,239.25,5.983333333333333,5.4375,56.166666666666664,Kolkata,2025,5,21,46.385327635327634,Good
2025-05-22,31.962500000000002,41.675000000000004,276.5416666666667,15.924999999999999,12.508333333333333,70.83333333333333,Kolkata,2025,5,22,104.89600202429149,Moderate
2025-05-23,29.879166666666666,38.704166666666666,344.8333333333333,16.079166666666666,9.700000000000001,61.791666666666664,Kolkata,2025,5,23,93.83440170940172,Satisfactory
2025-05-24,29.96666666666667,33.12916666666667,307.9583333333333,17.433333333333334,11.229166666666666,60.5,Kolkata,2025,5,24,97.63621794871796,Satisfactory
2025-05-25,28.441666666666666,30.325,486.2916666666667,16.808333333333334,10.025,57.833333333333336,Kolkata,2025,5,25,94.04822218473534,Satisfactory
2025-05-26,24.9875,26.266666666666666,366.9166666666667,15.770833333333334,7.4125000000000005,44.041666666666664,Kolkata,2025,5,26,80.99563746438747,Satisfactory
2025-05-27,20.091666666666665,20.841666666666665,419.9583333333333,13.366666666666667,6.175,58.333333333333336,Kolkata,2025,5,27,67.25836894586895,Satisfactory
2025-05-28,15.520833333333334,16.079166666666666,280.0833333333333,11.387500000000001,5.816666666666666,66.375,Kolkata,2025,5,28,55.831552706552706,Satisfactory
2025-05-29,19.0,19.39166666666667,393.1666666666667,13.841666666666667,9.125,65.625,Kolkata,2025,5,29,65.14841524216524,Satisfactory
2025-05-30,29.408333333333335,30.2375,496.625,14.633333333333333,21.425,100.16666666666667,Kolkata,2025,5,30,93.67423901634429,Satisfactory
2025-05-31,27.2,29.570833333333336,366.625,8.783333333333333,6.620833333333334,101.79166666666667,Kolkata,2025,5,31,82.47863247863248,Satisfactory
2025-06-01,54.71666666666667,65.10416666666667,552.7083333333334,13.008333333333333,13.691666666666668,99.5,Kolkata,2025,6,1,184.22359986504725,Moderate
